pwmval;lux
0;0.000000
100;61.955200
200;135.036800
300;207.966400
400;280.865600
500;353.734400
600;428.852800
700;499.411200
800;572.188800
900;650.924800
1000;723.672000
1100;790.764800
1200;863.633600
1300;943.068800
1400;1009.827200
1500;1091.694400
1600;1155.352000
1700;1237.462400
1800;1300.937600
1900;1373.897600
2000;1456.190400
2100;1524.924800
2200;1600.468800
2300;1675.283200
2400;1744.625600
2500;1821.659200
2600;1895.014400
2700;1967.944000
2800;1992.264000
2900;1992.264000
3000;1992.264000
3100;1992.264000
3200;1992.264000
3300;1992.264000
3400;1992.264000
3500;1992.264000
3600;1992.264000
3700;1992.264000
3800;1992.264000
3900;1992.264000
4000;1992.264000
4095;1992.264000
4096;1992.264000
