pwmval;lux
0;0.000000
100;85.028800
200;186.777600
300;291.931200
400;390.032000
500;491.385600
600;599.852800
700;694.518400
800;795.932800
900;907.926400
1000;998.883200
1100;1110.664000
1200;1201.529600
1300;1306.227200
1400;1416.062400
1500;1514.376000
1600;1607.582400
1700;1709.027200
1800;1813.937600
1900;1937.517460
2000;2050.190476
2100;2108.095238
2200;2176.374603
2300;2323.066667
2400;2459.263492
2500;2540.692063
2600;2600.165079
2700;2690.520635
2800;2816.704762
2900;2956.038095
3000;3011.168254
3100;3149.777778
3200;3217.936508
3300;3314.565079
3400;3452.330159
3500;3551.130159
3600;3649.930159
3700;3728.946032
3800;3832.209524
3900;3940.177778
4000;4038.857143
4095;4146.704762
4096;4146.584127
